Antecedent,Consequent,Support,Confidence,Lift,Count
History of History 3,History of Music 3,0.001,1.0,501.5,1
Fundamentals of Art 3,Fundamentals of Art 7,0.001,1.0,501.5,1
Fundamentals of Music 8,The Art of Physics 3,0.001,1.0,501.5,1
History of AI 8,The Art of Machine Learning 3,0.001,1.0,501.5,1
The Art of AI 7,Mastering Calculus 2,0.001,1.0,501.5,1
Fundamentals of Music 7,Handbook of Art 6,0.001,1.0,501.5,1
The Art of Java 9,Handbook of History 2,0.001,1.0,501.5,1
Advanced Physics 3,Mastering Chemistry 4,0.001,1.0,501.5,1
Introduction to Biology 2,Handbook of Philosophy 9,0.001,1.0,501.5,1
Guide to AI 4,The Art of Python 6,0.001,1.0,501.5,1
History of Physics 10,Introduction to Economics 10,0.001,1.0,501.5,1
History of Music 3,History of History 3,0.001,0.5,501.5,1
Fundamentals of Art 7,Fundamentals of Art 3,0.001,0.5,501.5,1
The Art of Physics 3,Fundamentals of Music 8,0.001,0.5,501.5,1
The Art of Machine Learning 3,History of AI 8,0.001,0.5,501.5,1
Mastering Calculus 2,The Art of AI 7,0.001,0.5,501.5,1
Handbook of Art 6,Fundamentals of Music 7,0.001,0.5,501.5,1
Handbook of History 2,The Art of Java 9,0.001,0.5,501.5,1
Mastering Chemistry 4,Advanced Physics 3,0.001,0.5,501.5,1
Handbook of Philosophy 9,Introduction to Biology 2,0.001,0.5,501.5,1
The Art of Python 6,Guide to AI 4,0.001,0.5,501.5,1
Introduction to Economics 10,History of Physics 10,0.001,0.5,501.5,1
Fundamentals of History 5,Mastering Economics 9,0.001,1.0,334.3333,1
Introduction to Art 4,Fundamentals of Physics 3,0.001,1.0,334.3333,1
Fundamentals of Calculus 4,Handbook of Calculus 3,0.001,1.0,334.3333,1
Mastering Chemistry 6,Fundamentals of Machine Learning 9,0.001,1.0,334.3333,1
Guide to Economics 3,Introduction to Java 10,0.001,1.0,334.3333,1
Fundamentals of Music 8,The Art of Biology 8,0.001,1.0,334.3333,1
Mastering Philosophy 6,History of Calculus 1,0.001,1.0,334.3333,1
Fundamentals of Music 7,History of AI 3,0.001,1.0,334.3333,1
Handbook of Economics 4,Guide to Economics 5,0.001,1.0,334.3333,1
The Art of Chemistry 8,Guide to Python 6,0.001,1.0,334.3333,1
Fundamentals of AI 4,History of Machine Learning 5,0.001,1.0,334.3333,1
Introduction to Chemistry 10,History of Music 4,0.001,1.0,334.3333,1
The Art of Art 6,The Art of Music 3,0.001,1.0,334.3333,1
The Art of Machine Learning 6,Fundamentals of Physics 3,0.001,1.0,334.3333,1
Introduction to Music 5,Introduction to Chemistry 1,0.001,1.0,334.3333,1
Introduction to Python 3,Advanced Music 2,0.001,1.0,334.3333,1
Mastering Economics 9,Fundamentals of History 5,0.001,0.3333,334.3333,1
Fundamentals of Physics 3,Introduction to Art 4,0.001,0.3333,334.3333,1
Handbook of Calculus 3,Fundamentals of Calculus 4,0.001,0.3333,334.3333,1
Fundamentals of Machine Learning 9,Mastering Chemistry 6,0.001,0.3333,334.3333,1
Introduction to Java 10,Guide to Economics 3,0.001,0.3333,334.3333,1
The Art of Biology 8,Fundamentals of Music 8,0.001,0.3333,334.3333,1
History of Calculus 1,Mastering Philosophy 6,0.001,0.3333,334.3333,1
History of AI 3,Fundamentals of Music 7,0.001,0.3333,334.3333,1
Guide to Economics 5,Handbook of Economics 4,0.001,0.3333,334.3333,1
Guide to Python 6,The Art of Chemistry 8,0.001,0.3333,334.3333,1
History of Machine Learning 5,Fundamentals of AI 4,0.001,0.3333,334.3333,1
History of Music 4,Introduction to Chemistry 10,0.001,0.3333,334.3333,1
The Art of Music 3,The Art of Art 6,0.001,0.3333,334.3333,1
Fundamentals of Physics 3,The Art of Machine Learning 6,0.001,0.3333,334.3333,1
Introduction to Chemistry 1,Introduction to Music 5,0.001,0.3333,334.3333,1
Advanced Music 2,Introduction to Python 3,0.001,0.3333,334.3333,1
The Art of Java 8,Introduction to AI 6,0.001,1.0,250.75,1
Advanced Philosophy 10,The Art of Art 2,0.001,1.0,250.75,1
Advanced Philosophy 10,The Art of Economics 2,0.001,1.0,250.75,1
Introduction to Art 1,History of Economics 1,0.001,1.0,250.75,1
Advanced Art 8,Guide to Philosophy 3,0.001,1.0,250.75,1
Handbook of Music 8,History of Calculus 5,0.001,1.0,250.75,1
Advanced Biology 5,Introduction to History 8,0.001,1.0,250.75,1
Mastering Chemistry 3,Handbook of Python 6,0.001,1.0,250.75,1
Introduction to Biology 9,Guide to Machine Learning 2,0.001,1.0,250.75,1
Introduction to Biology 9,Guide to Music 8,0.001,1.0,250.75,1
Handbook of Philosophy 2,The Art of Art 1,0.001,0.5,250.75,1
The Art of Art 1,Handbook of Philosophy 2,0.001,0.5,250.75,1
Handbook of Biology 9,History of Biology 2,0.001,0.5,250.75,1
History of Biology 2,Handbook of Biology 9,0.001,0.5,250.75,1
History of Economics 3,History of Philosophy 3,0.001,0.5,250.75,1
History of Philosophy 3,History of Economics 3,0.001,0.5,250.75,1
History of Physics 3,Introduction to Music 4,0.001,0.5,250.75,1
Introduction to Music 4,History of Physics 3,0.001,0.5,250.75,1
Handbook of AI 10,The Art of History 7,0.001,0.5,250.75,1
The Art of History 7,Handbook of AI 10,0.001,0.5,250.75,1
Handbook of Music 5,The Art of Calculus 7,0.001,0.5,250.75,1
The Art of Calculus 7,Handbook of Music 5,0.001,0.5,250.75,1
Mastering Machine Learning 1,The Art of Art 1,0.001,0.5,250.75,1
The Art of Art 1,Mastering Machine Learning 1,0.001,0.5,250.75,1
Guide to Chemistry 6,Guide to History 1,0.001,0.5,250.75,1
Guide to History 1,Guide to Chemistry 6,0.001,0.5,250.75,1
Introduction to History 4,Introduction to Philosophy 10,0.001,0.5,250.75,1
Introduction to Philosophy 10,Introduction to History 4,0.001,0.5,250.75,1
Introduction to AI 6,The Art of Java 8,0.001,0.25,250.75,1
The Art of Art 2,Advanced Philosophy 10,0.001,0.25,250.75,1
The Art of Economics 2,Advanced Philosophy 10,0.001,0.25,250.75,1
