masterId,title,author,borrow_count,total_copies,poor_copies,fair_copies,recommendation_score,recommended_action
BM-0127,History of Biology 3,Author W. Williams,7,7,4,3,53.0,Replace 4 Poor copies
BM-0196,The Art of Economics 9,Author R. Smith,7,7,4,1,49.0,Replace 4 Poor copies
BM-0414,Advanced Economics 9,Author W. Johnson,7,7,4,1,49.0,Replace 4 Poor copies
BM-0536,Introduction to History 9,Author H. Jones,7,7,4,1,49.0,Replace 4 Poor copies
BM-0261,Guide to Chemistry 2,Author H. Jones,6,6,4,1,48.0,Replace 4 Poor copies
BM-0366,History of Art 7,Author V. Smith,5,5,4,0,45.0,Replace 4 Poor copies
BM-0650,The Art of History 1,Author B. Johnson,11,11,3,1,43.0,"Replace 3 Poor copies, Buy more copies (High Demand)"
BM-0654,Mastering Physics 3,Author W. Smith,8,8,3,2,42.0,Replace 3 Poor copies
BM-0289,Advanced Economics 7,Author F. Smith,7,7,3,2,41.0,Replace 3 Poor copies
BM-0662,Introduction to Chemistry 5,Author Q. Brown,7,7,3,2,41.0,Replace 3 Poor copies
BM-0413,Fundamentals of Chemistry 7,Author C. Brown,6,6,3,2,40.0,Replace 3 Poor copies
BM-0157,History of AI 7,Author X. Johnson,6,6,3,2,40.0,Replace 3 Poor copies
BM-0615,History of Calculus 8,Author X. Jones,7,7,3,1,39.0,Replace 3 Poor copies
BM-0556,Mastering Music 6,Author I. Jones,5,5,3,2,39.0,Replace 3 Poor copies
BM-0487,Advanced Python 10,Author H. Brown,7,7,3,1,39.0,Replace 3 Poor copies
BM-0056,History of Chemistry 4,Author Z. Jones,5,5,3,1,37.0,Replace 3 Poor copies
BM-0356,Guide to Art 10,Author I. Brown,5,5,3,1,37.0,Replace 3 Poor copies
BM-0874,Handbook of Physics 10,Author P. Brown,4,4,3,1,36.0,Replace 3 Poor copies
BM-0904,Mastering Economics 10,Author X. Smith,6,6,3,0,36.0,Replace 3 Poor copies
BM-0689,Introduction to Music 3,Author I. Johnson,6,6,3,0,36.0,Replace 3 Poor copies
