Itemset,Itemset_Size,Count,Support
Advanced Physics 2,1,20,0.0132
Introduction to Music 3,1,20,0.0132
Advanced Chemistry 5,1,18,0.0119
The Art of History 1,1,18,0.0119
Fundamentals of Java 3,1,17,0.0113
Mastering Java 10,1,16,0.0106
Introduction to Chemistry 5,1,16,0.0106
Advanced Economics 7,1,16,0.0106
Advanced Java 1,1,15,0.0099
The Art of History 5,1,15,0.0099
History of History 7,1,15,0.0099
Fundamentals of Biology 4,1,14,0.0093
Fundamentals of Java 1,1,14,0.0093
The Art of Economics 8,1,14,0.0093
The Art of Calculus 3,1,13,0.0086
Guide to Biology 7,1,13,0.0086
The Art of Calculus 8,1,13,0.0086
Mastering AI 6,1,13,0.0086
Advanced Calculus 8,1,13,0.0086
Handbook of Chemistry 5,1,13,0.0086
Guide to Music 2,1,13,0.0086
Advanced Machine Learning 1,1,13,0.0086
History of Physics 1,1,13,0.0086
Advanced Chemistry 1,1,13,0.0086
Fundamentals of Python 1,1,12,0.0079
Introduction to Machine Learning 7,1,12,0.0079
Fundamentals of Chemistry 7,1,12,0.0079
Handbook of Philosophy 10,1,12,0.0079
Mastering History 2,1,12,0.0079
Guide to Physics 1,1,12,0.0079
History of Calculus 8,1,11,0.0073
Mastering Music 10,1,11,0.0073
Fundamentals of Physics 9,1,11,0.0073
Fundamentals of Machine Learning 5,1,11,0.0073
Guide to Art 2,1,11,0.0073
The Art of Art 8,1,11,0.0073
Mastering Calculus 9,1,11,0.0073
Guide to AI 5,1,11,0.0073
Mastering Biology 8,1,11,0.0073
Fundamentals of Chemistry 4,1,11,0.0073
Mastering History 6,1,11,0.0073
Introduction to Art 6,1,11,0.0073
Fundamentals of Chemistry 9,1,11,0.0073
Mastering Music 8,1,11,0.0073
The Art of Biology 6,1,11,0.0073
Advanced Music 8,1,10,0.0066
The Art of Economics 9,1,10,0.0066
Handbook of History 9,1,10,0.0066
History of Physics 6,1,10,0.0066
Mastering Python 6,1,10,0.0066
Advanced Java 3,1,10,0.0066
Handbook of Economics 9,1,10,0.0066
Advanced AI 1,1,10,0.0066
History of Machine Learning 1,1,10,0.0066
Fundamentals of Calculus 10,1,10,0.0066
Mastering Physics 3,1,10,0.0066
Mastering Economics 10,1,10,0.0066
Advanced Philosophy 2,1,10,0.0066
Fundamentals of Java 7,1,10,0.0066
Mastering Economics 7,1,10,0.0066
Introduction to Physics 3,1,10,0.0066
Fundamentals of Chemistry 6,1,10,0.0066
Advanced Calculus 7,1,10,0.0066
Advanced Java 8,1,10,0.0066
History of Chemistry 10,1,9,0.006
Advanced Music 4,1,9,0.006
Advanced Java 7,1,9,0.006
Mastering Philosophy 4,1,9,0.006
