Itemset,Frequency,Type
The Art of History 1,11,1-Itemset
Advanced Music 4,9,1-Itemset
Mastering Philosophy 9,9,1-Itemset
The Art of Art 8,8,1-Itemset
Guide to Music 2,8,1-Itemset
Mastering Physics 3,8,1-Itemset
Advanced Physics 2,8,1-Itemset
Introduction to Music 3,8,1-Itemset
History of Biology 6,8,1-Itemset
Fundamentals of Java 3,8,1-Itemset
The Art of AI 9,7,1-Itemset
Mastering History 2,7,1-Itemset
History of History 10,7,1-Itemset
Introduction to Chemistry 5,7,1-Itemset
Advanced Python 10,7,1-Itemset
The Art of History 6,7,1-Itemset
Guide to Python 1,7,1-Itemset
Fundamentals of Economics 4,7,1-Itemset
Advanced Java 3,7,1-Itemset
Guide to Physics 1,7,1-Itemset
History of Music 9,7,1-Itemset
Fundamentals of Java 1,7,1-Itemset
Introduction to History 9,7,1-Itemset
Handbook of Philosophy 10,7,1-Itemset
The Art of Economics 9,7,1-Itemset
Fundamentals of Physics 5,7,1-Itemset
Handbook of Chemistry 6,7,1-Itemset
Mastering Biology 8,7,1-Itemset
Fundamentals of Chemistry 6,7,1-Itemset
History of Calculus 8,7,1-Itemset
Fundamentals of Machine Learning 5,7,1-Itemset
Introduction to Calculus 2,7,1-Itemset
Advanced Java 8,7,1-Itemset
Advanced Machine Learning 1,7,1-Itemset
History of Biology 3,7,1-Itemset
Advanced Economics 9,7,1-Itemset
Advanced Economics 7,7,1-Itemset
Handbook of Economics 2,7,1-Itemset
Advanced Chemistry 5,7,1-Itemset
Advanced History 7,6,1-Itemset
History of History 7,6,1-Itemset
Advanced Economics 5,6,1-Itemset
Fundamentals of Chemistry 7,6,1-Itemset
Mastering Calculus 1,6,1-Itemset
The Art of Calculus 3,6,1-Itemset
Introduction to Music 3,6,1-Itemset
History of Machine Learning 1,6,1-Itemset
Mastering History 3,6,1-Itemset
Fundamentals of Chemistry 7,6,1-Itemset
Introduction to AI 3,6,1-Itemset
The Art of History 5,6,1-Itemset
Handbook of Machine Learning 5,6,1-Itemset
The Art of History 1,6,1-Itemset
Introduction to Art 6,6,1-Itemset
The Art of Python 5,6,1-Itemset
Handbook of Biology 10,6,1-Itemset
The Art of History 10,6,1-Itemset
Advanced Chemistry 5,6,1-Itemset
Advanced Art 1,6,1-Itemset
Guide to Philosophy 3,6,1-Itemset
Advanced Chemistry 4,6,1-Itemset
Introduction to Java 5,6,1-Itemset
Fundamentals of Philosophy 2,6,1-Itemset
Mastering AI 6,6,1-Itemset
Guide to Chemistry 2,6,1-Itemset
History of Music 2,6,1-Itemset
Handbook of Art 5,6,1-Itemset
Fundamentals of Chemistry 4,6,1-Itemset
Mastering Python 6,6,1-Itemset
History of AI 7,6,1-Itemset
Advanced Python 2,6,1-Itemset
Handbook of Java 2,6,1-Itemset
Fundamentals of Python 1,6,1-Itemset
Advanced Calculus 8,6,1-Itemset
Fundamentals of Java 6,6,1-Itemset
Mastering Economics 10,6,1-Itemset
Guide to Music 9,6,1-Itemset
The Art of Philosophy 6,6,1-Itemset
Advanced Calculus 7,6,1-Itemset
Advanced Calculus 5,6,1-Itemset
Introduction to AI 10,6,1-Itemset
Introduction to Chemistry 5,6,1-Itemset
Mastering Philosophy 1,6,1-Itemset
Fundamentals of Python 7,6,1-Itemset
The Art of History 3,6,1-Itemset
Fundamentals of Python 1,6,1-Itemset
Introduction to Physics 3,6,1-Itemset
History of Art 3,6,1-Itemset
Advanced History 5,6,1-Itemset
The Art of Physics 5,6,1-Itemset
Fundamentals of Java 7,5,1-Itemset
Advanced Art 4,5,1-Itemset
Mastering History 2,5,1-Itemset
Introduction to Art 5,5,1-Itemset
History of Machine Learning 8,5,1-Itemset
Fundamentals of Philosophy 8,5,1-Itemset
Introduction to Music 9,5,1-Itemset
Fundamentals of Philosophy 6,5,1-Itemset
Advanced Python 1,5,1-Itemset
Guide to AI 5,5,1-Itemset
History of Chemistry 7,5,1-Itemset
Advanced Philosophy 2,5,1-Itemset
Advanced Music 8,5,1-Itemset
History of Calculus 4,5,1-Itemset
Mastering History 6,5,1-Itemset
History of Music 7,5,1-Itemset
Advanced Python 8,5,1-Itemset
History of Physics 6,5,1-Itemset
Advanced Java 1,5,1-Itemset
Introduction to Music 3,5,1-Itemset
History of Machine Learning 9,5,1-Itemset
Fundamentals of Machine Learning 3,5,1-Itemset
Mastering Music 6,5,1-Itemset
The Art of Philosophy 5,5,1-Itemset
Mastering AI 7,5,1-Itemset
Guide to Biology 7,5,1-Itemset
History of Chemistry 4,5,1-Itemset
Handbook of Calculus 4,5,1-Itemset
The Art of Philosophy 9,5,1-Itemset
Guide to AI 8,5,1-Itemset
Fundamentals of Calculus 10,5,1-Itemset
Guide to AI 10,5,1-Itemset
Fundamentals of Java 3,5,1-Itemset
Introduction to Machine Learning 7,5,1-Itemset
Mastering Art 9,5,1-Itemset
Fundamentals of Biology 4,5,1-Itemset
Advanced Biology 10,5,1-Itemset
History of Java 1,5,1-Itemset
Mastering Calculus 6,5,1-Itemset
The Art of Economics 8,5,1-Itemset
The Art of Python 9,5,1-Itemset
Fundamentals of Java 7,5,1-Itemset
History of Music 5,5,1-Itemset
The Art of Java 2,5,1-Itemset
Guide to Physics 1,5,1-Itemset
History of History 7,5,1-Itemset
Fundamentals of Physics 1,5,1-Itemset
Fundamentals of AI 5,5,1-Itemset
Advanced Physics 4,5,1-Itemset
Guide to Calculus 9,5,1-Itemset
Mastering Economics 5,5,1-Itemset
Guide to AI 1,5,1-Itemset
History of Art 2,5,1-Itemset
Introduction to Music 10,5,1-Itemset
The Art of Music 3,5,1-Itemset
Handbook of Art 1,5,1-Itemset
History of Machine Learning 6,5,1-Itemset
The Art of Biology 7,5,1-Itemset
Fundamentals of Economics 6,5,1-Itemset
Guide to Biology 7,5,1-Itemset
Introduction to Physics 8,5,1-Itemset
Advanced Art 6,5,1-Itemset
History of Physics 6,5,1-Itemset
The Art of Economics 8,5,1-Itemset
Guide to Art 10,5,1-Itemset
Mastering Music 10,5,1-Itemset
History of Art 7,5,1-Itemset
History of Economics 4,5,1-Itemset
The Art of Philosophy 1,5,1-Itemset
Advanced Calculus 6,5,1-Itemset
Guide to Machine Learning 5,5,1-Itemset
Handbook of Calculus 8,5,1-Itemset
Advanced Calculus 8,5,1-Itemset
Fundamentals of Music 1,5,1-Itemset
Introduction to History 7,5,1-Itemset
Advanced Chemistry 1,5,1-Itemset
Guide to Art 2,5,1-Itemset
Introduction to Python 5,5,1-Itemset
Mastering Chemistry 2,5,1-Itemset
History of Calculus 3,5,1-Itemset
Handbook of Java 1,5,1-Itemset
Introduction to Philosophy 7,5,1-Itemset
The Art of History 8,5,1-Itemset
Guide to History 7,5,1-Itemset
Advanced Java 1,5,1-Itemset
The Art of Python 3,5,1-Itemset
Handbook of Chemistry 7,5,1-Itemset
Fundamentals of Chemistry 4,5,1-Itemset
Mastering Philosophy 2,5,1-Itemset
Mastering Philosophy 7,4,1-Itemset
Mastering Music 8,4,1-Itemset
Guide to Python 4,4,1-Itemset
The Art of History 5,4,1-Itemset
Guide to Art 3,4,1-Itemset
History of Philosophy 8,4,1-Itemset
Guide to Music 8,4,1-Itemset
Fundamentals of Philosophy 9,4,1-Itemset
Introduction to Music 8,4,1-Itemset
Introduction to Machine Learning 10,4,1-Itemset
The Art of Philosophy 3,4,1-Itemset
Mastering Java 6,4,1-Itemset
The Art of Physics 7,4,1-Itemset
Introduction to Chemistry 3,4,1-Itemset
Fundamentals of Chemistry 8,4,1-Itemset
Fundamentals of Calculus 7,4,1-Itemset
History of Chemistry 10,4,1-Itemset
Mastering Art 10,4,1-Itemset
Guide to Economics 1,4,1-Itemset
History of Philosophy 8,4,1-Itemset
Handbook of Java 6,4,1-Itemset
Mastering Physics 9,4,1-Itemset
The Art of Physics 1,4,1-Itemset
Introduction to AI 6,4,1-Itemset
Advanced Chemistry 1,4,1-Itemset
History of History 2,4,1-Itemset
Fundamentals of Biology 4,4,1-Itemset
Guide to AI 5,4,1-Itemset
Introduction to Physics 3,4,1-Itemset
Fundamentals of Chemistry 9,4,1-Itemset
Handbook of Physics 10,4,1-Itemset
The Art of History 2,4,1-Itemset
Handbook of Philosophy 10,4,1-Itemset
History of Biology 8,4,1-Itemset
Handbook of Music 2,4,1-Itemset
Mastering AI 6,4,1-Itemset
History of Chemistry 2,4,1-Itemset
The Art of Physics 7,4,1-Itemset
History of Calculus 5,4,1-Itemset
Introduction to Biology 4,4,1-Itemset
The Art of Economics 3,4,1-Itemset
Handbook of Art 7,4,1-Itemset
The Art of Biology 10,4,1-Itemset
The Art of Music 1,4,1-Itemset
Advanced Chemistry 6,4,1-Itemset
The Art of Chemistry 1,4,1-Itemset
History of Calculus 8,4,1-Itemset
The Art of Machine Learning 9,4,1-Itemset
Fundamentals of Chemistry 9,4,1-Itemset
Mastering Machine Learning 10,4,1-Itemset
Fundamentals of Physics 9,4,1-Itemset
Advanced Chemistry 8,4,1-Itemset
Fundamentals of Calculus 1,4,1-Itemset
The Art of Machine Learning 2,4,1-Itemset
Guide to Biology 10,4,1-Itemset
Advanced History 10,4,1-Itemset
Advanced Calculus 1,4,1-Itemset
Mastering Economics 7,4,1-Itemset
Mastering Biology 8,4,1-Itemset
The Art of Calculus 8,4,1-Itemset
Introduction to History 8,4,1-Itemset
History of Philosophy 1,4,1-Itemset
History of Python 9,4,1-Itemset
The Art of Economics 8,4,1-Itemset
Guide to AI 9,4,1-Itemset
Guide to Music 4,4,1-Itemset
Guide to Python 7,4,1-Itemset
Handbook of Economics 9,4,1-Itemset
Advanced Machine Learning 8,4,1-Itemset
The Art of Calculus 5,4,1-Itemset
Guide to Machine Learning 2,4,1-Itemset
Mastering Calculus 9,4,1-Itemset
Fundamentals of Art 10,4,1-Itemset
Advanced Music 1,4,1-Itemset
Guide to History 9,4,1-Itemset
Guide to Biology 9,4,1-Itemset
Advanced Calculus 7,4,1-Itemset
Advanced AI 1,4,1-Itemset
The Art of Calculus 8,4,1-Itemset
Advanced Python 7,4,1-Itemset
Advanced Physics 2,4,1-Itemset
Handbook of History 9,4,1-Itemset
Guide to Art 6,4,1-Itemset
History of Python 10,4,1-Itemset
Mastering Physics 1,4,1-Itemset
The Art of Calculus 3,4,1-Itemset
