id,masterId,code,condition,status,createdAt
BI-00001,BM-0737,INV-000001,Good,Available,2024-03-13 22:14:27
BI-00002,BM-0213,INV-000002,Poor,Available,2023-11-21 22:14:27
BI-00003,BM-0174,INV-000003,New,Available,2023-07-23 22:14:27
BI-00004,BM-0034,INV-000004,Good,Available,2024-10-17 22:14:27
BI-00005,BM-0487,INV-000005,Good,Available,2023-04-02 22:14:27
BI-00006,BM-0869,INV-000006,Poor,Available,2025-01-13 22:14:27
BI-00007,BM-0759,INV-000007,Good,Available,2025-07-01 22:14:27
BI-00008,BM-0063,INV-000008,Fair,Available,2024-02-15 22:14:27
BI-00009,BM-0286,INV-000009,Good,Available,2023-12-08 22:14:27
BI-00010,BM-0305,INV-000010,New,Available,2024-08-12 22:14:27
BI-00011,BM-0511,INV-000011,Fair,Available,2024-02-03 22:14:27
BI-00012,BM-0419,INV-000012,New,Available,2025-04-28 22:14:27
BI-00013,BM-0033,INV-000013,New,Available,2025-05-18 22:14:27
BI-00014,BM-0575,INV-000014,New,Available,2023-07-01 22:14:27
BI-00015,BM-0366,INV-000015,Poor,Available,2023-04-19 22:14:27
BI-00016,BM-0384,INV-000016,Fair,Available,2023-07-04 22:14:27
BI-00017,BM-0584,INV-000017,Good,Available,2024-11-18 22:14:27
BI-00018,BM-0072,INV-000018,Good,Available,2025-04-10 22:14:27
BI-00019,BM-0333,INV-000019,Poor,Available,2025-08-14 22:14:27
BI-00020,BM-0537,INV-000020,New,Available,2024-02-23 22:14:27
BI-00021,BM-0619,INV-000021,Good,Available,2023-03-27 22:14:27
BI-00022,BM-0148,INV-000022,Good,Available,2024-01-02 22:14:27
BI-00023,BM-0728,INV-000023,Poor,Available,2025-06-25 22:14:27
BI-00024,BM-0874,INV-000024,Poor,Available,2023-07-17 22:14:27
BI-00025,BM-0072,INV-000025,Fair,Available,2025-05-30 22:14:27
BI-00026,BM-0375,INV-000026,Good,Available,2024-10-04 22:14:27
BI-00027,BM-0035,INV-000027,Poor,Available,2025-02-07 22:14:27
BI-00028,BM-0284,INV-000028,Poor,Available,2023-11-29 22:14:27
BI-00029,BM-0808,INV-000029,Good,Available,2025-01-01 22:14:27
BI-00030,BM-0572,INV-000030,Good,Available,2023-08-03 22:14:27
BI-00031,BM-0785,INV-000031,Fair,Available,2024-01-01 22:14:27
BI-00032,BM-0987,INV-000032,Good,Available,2023-11-11 22:14:27
BI-00033,BM-0359,INV-000033,Good,Available,2024-04-10 22:14:27
BI-00034,BM-0938,INV-000034,Good,Available,2024-05-29 22:14:27
BI-00035,BM-0618,INV-000035,Fair,Available,2023-11-04 22:14:27
BI-00036,BM-0192,INV-000036,Fair,Available,2023-06-15 22:14:27
BI-00037,BM-0219,INV-000037,Good,Available,2024-06-18 22:14:27
BI-00038,BM-0982,INV-000038,Poor,Available,2025-04-14 22:14:27
BI-00039,BM-0259,INV-000039,Poor,Available,2024-02-02 22:14:27
BI-00040,BM-0086,INV-000040,Poor,Available,2024-02-17 22:14:27
BI-00041,BM-0442,INV-000041,Fair,Available,2024-12-02 22:14:27
BI-00042,BM-0768,INV-000042,New,Available,2023-08-13 22:14:27
BI-00043,BM-0497,INV-000043,Poor,Available,2023-05-20 22:14:27
BI-00044,BM-0645,INV-000044,Fair,Available,2024-06-19 22:14:27
BI-00045,BM-0904,INV-000045,Good,Available,2025-05-28 22:14:27
BI-00046,BM-0248,INV-000046,Good,Available,2024-06-10 22:14:27
BI-00047,BM-0843,INV-000047,New,Available,2023-04-03 22:14:27
BI-00048,BM-0858,INV-000048,Poor,Available,2024-09-23 22:14:27
BI-00049,BM-0950,INV-000049,Fair,Available,2024-12-26 22:14:27
BI-00050,BM-0813,INV-000050,New,Available,2025-02-05 22:14:27
BI-00051,BM-0958,INV-000051,New,Available,2023-07-07 22:14:27
BI-00052,BM-0915,INV-000052,New,Available,2024-07-22 22:14:27
BI-00053,BM-0891,INV-000053,New,Available,2025-01-07 22:14:27
BI-00054,BM-0098,INV-000054,New,Available,2024-06-12 22:14:27
BI-00055,BM-0356,INV-000055,Poor,Available,2024-11-05 22:14:27
BI-00056,BM-0993,INV-000056,Poor,Available,2024-07-16 22:14:27
BI-00057,BM-0570,INV-000057,Good,Available,2024-10-09 22:14:27
BI-00058,BM-0818,INV-000058,Fair,Available,2023-03-30 22:14:27
BI-00059,BM-0546,INV-000059,New,Available,2024-03-17 22:14:27
BI-00060,BM-0247,INV-000060,Good,Available,2023-11-24 22:14:27
BI-00061,BM-0839,INV-000061,Good,Available,2024-11-26 22:14:27
BI-00062,BM-0467,INV-000062,New,Available,2024-06-27 22:14:27
BI-00063,BM-0603,INV-000063,Poor,Available,2024-11-17 22:14:27
BI-00064,BM-0210,INV-000064,Good,Available,2024-02-15 22:14:27
BI-00065,BM-0414,INV-000065,Poor,Available,2025-07-30 22:14:27
BI-00066,BM-0913,INV-000066,Poor,Available,2023-05-10 22:14:27
BI-00067,BM-0956,INV-000067,Poor,Available,2024-08-31 22:14:27
BI-00068,BM-0817,INV-000068,New,Available,2024-02-06 22:14:27
BI-00069,BM-0263,INV-000069,New,Available,2025-01-02 22:14:27
BI-00070,BM-0568,INV-000070,New,Available,2023-05-27 22:14:27
BI-00071,BM-0650,INV-000071,Good,Available,2025-08-15 22:14:27
BI-00072,BM-0401,INV-000072,Good,Available,2023-12-14 22:14:27
BI-00073,BM-0889,INV-000073,New,Available,2024-11-10 22:14:27
BI-00074,BM-0496,INV-000074,Good,Available,2023-04-18 22:14:27
BI-00075,BM-0618,INV-000075,Poor,Available,2025-03-11 22:14:27
BI-00076,BM-0735,INV-000076,New,Available,2025-01-22 22:14:27
BI-00077,BM-0512,INV-000077,Fair,Available,2023-08-04 22:14:27
BI-00078,BM-0970,INV-000078,New,Available,2025-06-25 22:14:27
BI-00079,BM-0654,INV-000079,Fair,Available,2023-05-08 22:14:27
