id,borrowId,bookItemId,conditionAtBorrow
800df241-4ece-4904-a1fc-de89cf267f8d,TRX-000001,BI-02155,Poor
35152bda-e8de-4f88-ba44-2711fd047b4c,TRX-000002,BI-00326,Fair
559793d7-f2eb-463f-9337-41e279627f1a,TRX-000003,BI-01496,New
42c577f6-1446-49ef-a6e0-d3dad84c6640,TRX-000003,BI-02865,Fair
d8e7d6d6-322b-46b1-97cd-e5885628cd34,TRX-000003,BI-00573,Fair
10331bf5-f928-4d53-af1f-efc1a3f3c614,TRX-000004,BI-02831,New
3d0b2a97-7774-405b-b62c-b3017b26bcf2,TRX-000004,BI-02627,New
6c0591e3-6c2e-400e-8ddf-d2fe513ab4f6,TRX-000005,BI-00667,Poor
5ffdf183-1078-4ca3-969b-fb97230d6246,TRX-000005,BI-02404,Fair
c470af07-861b-4674-b594-3a6af166af45,TRX-000005,BI-02154,New
c54e51cf-ca3c-42c7-9e08-792cec564336,TRX-000006,BI-02166,Good
394d4c15-2499-416e-a584-57511eafb22f,TRX-000006,BI-01693,New
a470e496-b228-4d4e-a035-3f3fc1931c59,TRX-000006,BI-01295,Fair
e379089d-49a3-44cf-912b-391694006ecf,TRX-000007,BI-01653,Fair
f6f4caa5-467b-429b-b606-91c71fa1eb49,TRX-000007,BI-02649,Good
2683db00-53c6-410c-881f-8bd77df4c538,TRX-000008,BI-00235,Good
efc82db5-1592-4282-bfee-85cfc3165a87,TRX-000008,BI-02647,Fair
53be42f4-ae0d-4bb3-9669-24a5849eea1e,TRX-000008,BI-02697,Poor
e3a9593f-1d0e-4888-9f65-1c1ea4899572,TRX-000009,BI-02892,Poor
33ee2275-4cd9-425a-8349-f8d76ca32b7a,TRX-000009,BI-00771,New
3f70a0ee-c1c8-4624-8e19-e3721d6e49e4,TRX-000009,BI-02620,Fair
e1fd0bdf-7620-4cb9-9b4d-7ac041b08b4f,TRX-000010,BI-01810,Poor
227ec70b-1765-4c12-baa0-f6493423ec80,TRX-000010,BI-02856,New
6263d4c3-8ac7-4007-a0fe-fdf71550ff39,TRX-000010,BI-02625,Good
