id,adminId,studentId,borrowedAt,dueDate,status
TRX-000001,ADM-004,STD-047,2025-11-26 22:14:27,2025-12-03 22:14:27,Returned
TRX-000002,ADM-003,STD-076,2025-06-25 22:14:27,2025-07-02 22:14:27,Returned
TRX-000003,ADM-001,STD-001,2025-04-16 22:14:27,2025-04-23 22:14:27,Returned
TRX-000004,ADM-004,STD-020,2025-01-14 22:14:27,2025-01-21 22:14:27,Returned
TRX-000005,ADM-001,STD-091,2025-09-14 22:14:27,2025-09-21 22:14:27,Returned
TRX-000006,ADM-003,STD-046,2025-04-09 22:14:27,2025-04-16 22:14:27,Returned
TRX-000007,ADM-004,STD-020,2025-03-15 22:14:27,2025-03-22 22:14:27,Returned
TRX-000008,ADM-001,STD-090,2025-03-06 22:14:27,2025-03-13 22:14:27,Returned
TRX-000009,ADM-003,STD-022,2025-05-21 22:14:27,2025-05-28 22:14:27,Returned
TRX-000010,ADM-005,STD-041,2025-09-14 22:14:27,2025-09-21 22:14:27,Returned
TRX-000011,ADM-003,STD-041,2025-08-08 22:14:27,2025-08-15 22:14:27,Returned
TRX-000012,ADM-003,STD-067,2025-03-17 22:14:27,2025-03-24 22:14:27,Returned
TRX-000013,ADM-004,STD-018,2025-06-06 22:14:27,2025-06-13 22:14:27,Returned
TRX-000014,ADM-002,STD-078,2024-12-04 22:14:27,2024-12-11 22:14:27,Returned
TRX-000015,ADM-005,STD-025,2025-05-28 22:14:27,2025-06-04 22:14:27,Returned
TRX-000016,ADM-005,STD-040,2024-12-26 22:14:27,2025-01-02 22:14:27,Returned
TRX-000017,ADM-005,STD-080,2025-04-28 22:14:27,2025-05-05 22:14:27,Returned
TRX-000018,ADM-002,STD-095,2025-01-27 22:14:27,2025-02-03 22:14:27,Returned
TRX-000019,ADM-002,STD-065,2024-12-31 22:14:27,2025-01-07 22:14:27,Returned
TRX-000020,ADM-003,STD-070,2025-09-21 22:14:27,2025-09-28 22:14:27,Returned
TRX-000021,ADM-001,STD-002,2025-09-05 22:14:27,2025-09-12 22:14:27,Returned
TRX-000022,ADM-004,STD-047,2025-04-25 22:14:27,2025-05-02 22:14:27,Returned
TRX-000023,ADM-005,STD-043,2025-02-20 22:14:27,2025-02-27 22:14:27,Returned
TRX-000024,ADM-003,STD-089,2025-05-13 22:14:27,2025-05-20 22:14:27,Returned
TRX-000025,ADM-001,STD-066,2025-04-12 22:14:27,2025-04-19 22:14:27,Returned
TRX-000026,ADM-002,STD-014,2025-05-16 22:14:27,2025-05-23 22:14:27,Returned
TRX-000027,ADM-001,STD-045,2025-10-17 22:14:27,2025-10-24 22:14:27,Returned
TRX-000028,ADM-005,STD-037,2025-01-06 22:14:27,2025-01-13 22:14:27,Returned
TRX-000029,ADM-005,STD-041,2025-08-27 22:14:27,2025-09-03 22:14:27,Returned
TRX-000030,ADM-002,STD-032,2025-02-19 22:14:27,2025-02-26 22:14:27,Returned
TRX-000031,ADM-003,STD-097,2025-01-17 22:14:27,2025-01-24 22:14:27,Returned
TRX-000032,ADM-004,STD-078,2025-06-27 22:14:27,2025-07-04 22:14:27,Returned
TRX-000033,ADM-002,STD-084,2025-02-10 22:14:27,2025-02-17 22:14:27,Returned
TRX-000034,ADM-003,STD-051,2025-07-12 22:14:27,2025-07-19 22:14:27,Returned
TRX-000035,ADM-003,STD-065,2025-03-04 22:14:27,2025-03-11 22:14:27,Returned
TRX-000036,ADM-005,STD-045,2025-10-18 22:14:27,2025-10-25 22:14:27,Returned
TRX-000037,ADM-003,STD-002,2025-05-15 22:14:27,2025-05-22 22:14:27,Returned
