id,returnId,bookItemId,conditionAtReturn,notes
c68ab1a8-e03f-4323-8a80-695110ee3702,RET-000001,BI-00326,Good,Late return
6c9f0962-1028-4696-923a-a1dfbbff95ff,RET-000002,BI-01419,Good,
cc08641d-fd4e-4761-85a4-dd720ccb8103,RET-000003,BI-01640,Good,Damaged cover
0cac30cc-faab-48f7-a3c7-6fea97e8793a,RET-000004,BI-00776,Good,Late return
a0f140f1-1824-4ff6-9433-10c7bd217d0b,RET-000004,BI-01630,Good,
12378f34-56aa-42e4-bc7e-c3b67750c979,RET-000005,BI-00624,Good,
07171df7-8271-441d-9db2-109db5788e15,RET-000005,BI-01532,Good,
654892da-55d8-491b-8d83-54252c4b02f8,RET-000005,BI-01487,Good,
3b18b350-4dab-40ff-a24e-693b63613629,RET-000006,BI-02714,Good,Late return
b8c94cb8-7e96-4008-90a2-6b6fc59a0eb2,RET-000006,BI-02597,Good,Damaged cover
de3d6635-1a42-4dec-8453-5e4dbcbfa0b3,RET-000006,BI-01855,Good,Late return
ce524f77-51be-4afa-b28f-d0aaadd84cba,RET-000007,BI-02420,Good,
156a7b76-b673-43ad-b057-4bc403e61d1d,RET-000007,BI-01197,Good,
029cb248-9526-4a0f-a0d2-49ed4cef3e8d,RET-000008,BI-01712,Good,Damaged cover
2c9b2974-890e-4cc7-b12d-69467652eee7,RET-000009,BI-00323,Good,Late return
ee102791-15d8-4146-9b19-95671a595f26,RET-000010,BI-01336,Good,
cc64763e-ec91-42bd-ab37-3e3c5af49a02,RET-000011,BI-02045,Good,
731c7968-6b7f-4931-bced-7654517e3a2a,RET-000012,BI-01793,Good,Damaged cover
a29c70fc-db7c-4874-8090-f4bdac5fe032,RET-000012,BI-01926,Good,
2dec4c30-207c-4317-a48b-01816e11c85e,RET-000013,BI-01751,Good,Damaged cover
752389e0-9f81-4888-b3ff-a88c8b2c0ee8,RET-000014,BI-00317,Good,
fbf7786f-484e-4a49-b8cb-a72b8b52a20e,RET-000014,BI-02446,Good,
7c0c3f21-7dbc-4a7c-8229-f6a58fa8afef,RET-000015,BI-00546,Good,Damaged cover
59c21349-0ebd-4dcd-944f-40ccc307a3a1,RET-000015,BI-00859,Good,Damaged cover
2b0764ba-0c81-4abb-b4d3-433cfad12b8c,RET-000016,BI-02126,Good,
07a558b7-6c84-4df1-85ba-920edc46e312,RET-000016,BI-01774,Good,Damaged cover
8c244c05-935b-4ee5-ab1b-066d26a8b524,RET-000017,BI-02973,Good,
499eaaab-0afe-49f4-9332-4b27634f4cb1,RET-000017,BI-01454,Good,Late return
0daeea4f-f25e-4fc4-8ed2-77f34008a53e,RET-000018,BI-01377,Good,
9bc7aca8-0a27-4a87-b017-0374301cab72,RET-000018,BI-02677,Good,Late return
1c3d26d3-77f8-4992-815a-e6d50876e4d7,RET-000018,BI-02021,Good,
435d54e8-69bd-49ad-be02-9620b9f7e70d,RET-000019,BI-02662,Good,Damaged cover
178cb56a-91df-4914-87dd-252f0537fecd,RET-000020,BI-02644,Good,
bca22fa7-5c0b-44aa-8c54-d08dc76d69bc,RET-000020,BI-01603,Good,Late return
69ef5f34-792c-46d4-ba7b-41c7a35fbb97,RET-000020,BI-01478,Good,
c15af5db-3b9b-4040-aad3-79ec4d125145,RET-000021,BI-02360,Good,
1339eeb0-7f6d-4893-9605-3c4ff28b8ff9,RET-000022,BI-02069,Good,Damaged cover
09c98f7c-76d0-4521-964a-33248d1ba4af,RET-000023,BI-01698,Good,Late return
b4222fe0-13c3-4c67-822f-4b25c1b2c3b2,RET-000023,BI-00960,Good,
8d1c2eec-b859-4a02-8177-6dc91c0bfc23,RET-000024,BI-01163,Good,Damaged cover
0bbff305-1124-4fa2-851b-535ed8dccb09,RET-000024,BI-00476,Good,
867d3e30-d9c2-4cbd-bf6c-aa749afba2b4,RET-000024,BI-01219,Good,
ea9080c0-6284-4735-aae0-4483a548350b,RET-000025,BI-00292,Good,
86a6fea8-a207-45b5-9810-2717b8b4e335,RET-000025,BI-00446,Good,
a16603bf-31fb-4af9-86db-c1775d788591,RET-000025,BI-01191,Good,Late return
9301329a-b563-45ad-9f43-ed259ef65f80,RET-000026,BI-00679,Good,Damaged cover
5051ea53-f76f-4e3a-8dc0-0b02856ab9cb,RET-000026,BI-00296,Good,
13dc8dc8-f004-44f8-8df1-56ee80cd23b3,RET-000027,BI-01101,Good,Late return
8cd9967d-e26b-4b48-8cce-975ee2fe5de2,RET-000027,BI-01984,Good,
0a22dcbf-106b-443c-83c9-5ec01d90b621,RET-000027,BI-01657,Good,Late return
536ab6f5-4bea-4221-a766-208ea2b235d2,RET-000028,BI-01763,Good,
a671d42f-9051-4844-81ec-9fc94701941d,RET-000029,BI-00717,Good,Late return
b4248c2b-bd52-4433-9df0-76cd6ed9ab0e,RET-000029,BI-02859,Good,Late return
b4673290-dbee-4da8-b7cc-e395ce5d7e00,RET-000030,BI-00370,Good,
bc987d4b-0e00-4b06-866f-393a0051b7fa,RET-000030,BI-01093,Good,
d9ba25a1-b416-4240-bce0-816b9c82f6e6,RET-000030,BI-02678,Good,Damaged cover
faaafbd2-cbe7-4a3f-8df2-75e94eec1cd4,RET-000031,BI-01164,Good,
ed83740a-7624-4135-b68f-33e5dd54521c,RET-000031,BI-01136,Good,
e4e15694-2ae1-41e4-9627-2176b00dab22,RET-000031,BI-01277,Good,Late return
8c46b430-a398-49ad-96b1-ef0887b97f11,RET-000032,BI-01868,Good,
